timestamp,symbol,side,price,size,fee,fee_currency,order_id,trade_id,pos_side,pnl
2025-12-02T00:08:26.839000,BTC-USDT,buy,86346.2,0.23,-0.09929813,USDT,3091064704267259904,2494873916,long,
2025-12-02T00:08:35.416000,ETH-USDT,buy,2828.82,0.53,-0.07496373,USDT,3091064992063623168,1885512206,long,
2025-12-02T00:08:35.416000,ETH-USDT,buy,2828.8,0.05,-0.007072,USDT,3091064992063623168,1885512205,long,
2025-12-02T00:08:52.097000,XRP-USDT,sell,2.0116,0.51,-0.0512958,USDT,3091065551785103360,823253806,short,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.1363,0.61,-0.0415715,USDT,3091065856660672512,1513781206,long,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.1363,0.03,-0.0020445,USDT,3091065856660672512,1513781205,long,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.1363,0.03,-0.0020445,USDT,3091065856660672512,1513781204,long,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.13625,0.01,-0.00068125,USDT,3091065856660672512,1513781203,long,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.13625,0.2,-0.013625,USDT,3091065856660672512,1513781202,long,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.13625,0.01,-0.00068125,USDT,3091065856660672512,1513781201,long,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.13625,0.01,-0.00068125,USDT,3091065856660672512,1513781200,long,
2025-12-02T00:09:01.183000,DOGE-USDT,buy,0.13625,0.07,-0.00476875,USDT,3091065856660672512,1513781199,long,
2025-12-02T00:09:12.311000,SOL-USDT,buy,125.62,0.01,-0.0006281,USDT,3091066230054391808,1421007267,long,
2025-12-02T00:09:12.311000,SOL-USDT,buy,125.62,0.06,-0.0037686,USDT,3091066230054391808,1421007266,long,
2025-12-02T00:09:12.312000,SOL-USDT,buy,125.62,0.83,-0.0521323,USDT,3091066230054391808,1421007271,long,
2025-12-02T00:09:12.312000,SOL-USDT,buy,125.62,0.01,-0.0006281,USDT,3091066230054391808,1421007270,long,
2025-12-02T00:09:12.312000,SOL-USDT,buy,125.62,0.12,-0.0075372,USDT,3091066230054391808,1421007269,long,
2025-12-02T00:09:12.312000,SOL-USDT,buy,125.62,0.12,-0.0075372,USDT,3091066230054391808,1421007268,long,
2025-12-02T00:09:32.091000,BTC-USDT,sell,86346.2,0.22,-0.09498082,USDT,3091066893761056768,2494874426,long,
2025-12-02T00:09:32.091000,BTC-USDT,sell,86350.0,0.01,-0.0043175,USDT,3091066893761056768,2494874425,long,0.00038
2025-12-02T00:09:33.948000,DOGE-USDT,sell,0.1368,0.58,-0.039672,USDT,3091066956071636992,1513782910,long,0.298969072164906
2025-12-02T00:09:39.566000,DOGE-USDT,sell,0.1368,0.23,-0.015732,USDT,3091067144580435968,1513782911,long,0.118556701030911
2025-12-02T00:09:45.212000,DOGE-USDT,sell,0.13675,0.08,-0.00547,USDT,3091067333995204608,1513782927,long,0.037237113402056
2025-12-02T00:09:45.212000,DOGE-USDT,sell,0.13675,0.01,-0.00068375,USDT,3091067333995204608,1513782926,long,0.004654639175257
2025-12-02T00:09:45.212000,DOGE-USDT,sell,0.1368,0.01,-0.000684,USDT,3091067333995204608,1513782925,long,0.005154639175257
2025-12-02T00:09:45.860000,SOL-USDT,sell,125.63,0.69,-0.04334235,USDT,3091067355772030976,1421009830,long,0.0069
2025-12-02T00:09:47.989000,DOGE-USDT,sell,0.13675,0.06,-0.0041025,USDT,3091067427175862272,1513782928,long,0.027927835051542
2025-12-02T00:09:51.717000,SOL-USDT,sell,125.31,0.28,-0.0175434,USDT,3091067552300339200,1421010567,long,-0.0868
2025-12-02T00:10:32.473000,SOL-USDT,sell,125.96,0.11,-0.0069278,USDT,3091068919844769792,1421013529,long,0.0374
2025-12-02T00:10:38.007000,SOL-USDT,sell,125.96,0.04,-0.0025192,USDT,3091069105534996480,1421013530,long,0.0136
2025-12-02T00:10:43.542000,SOL-USDT,sell,125.55,0.02,-0.0012555,USDT,3091069291258777600,1421014092,long,-0.0014
2025-12-02T00:10:49.108000,SOL-USDT,sell,125.91,0.01,-0.00062955,USDT,3091069478022746112,1421015186,long,0.0029
2025-12-02T00:11:50.167000,ETH-USDT,sell,2833.0,0.35,-0.0495775,USDT,3091071526822809600,1885514245,long,0.1463603448275862
2025-12-02T00:11:55.700000,ETH-USDT,sell,2833.41,0.11,-0.015583755,USDT,3091071712479481856,1885514366,long,0.0505089655172414
2025-12-02T00:11:55.700000,ETH-USDT,sell,2833.42,0.03,-0.00425013,USDT,3091071712479481856,1885514365,long,0.0138051724137931
2025-12-02T00:12:01.259000,ETH-USDT,sell,2833.42,0.05,-0.00708355,USDT,3091071898975014912,1885514406,long,0.0230086206896552
2025-12-02T00:12:06.831000,ETH-USDT,sell,2833.42,0.02,-0.00283342,USDT,3091072085973864448,1885514432,long,0.0092034482758621
2025-12-02T00:12:12.387000,ETH-USDT,sell,2833.13,0.01,-0.001416565,USDT,3091072272402288640,1885514462,long,0.004311724137931
2025-12-02T00:12:17.927000,ETH-USDT,sell,2832.98,0.01,-0.00141649,USDT,3091072458293841920,1885514500,long,0.004161724137931
2025-12-02T00:14:30.859000,ETH-USDT,buy,2828.02,0.58,-0.08201258,USDT,3091076918751596544,1885517282,long,
2025-12-02T00:14:48.442000,SOL-USDT,buy,124.4,1.15,-0.028612,USDT,3091073831508971520,1421029606,long,
2025-12-02T00:14:49.505000,BTC-USDT,buy,86392.2,0.16,-0.06911376,USDT,3091077544407535616,2494878401,long,
2025-12-02T00:14:49.505000,BTC-USDT,buy,86392.2,0.07,-0.03023727,USDT,3091077544407535616,2494878400,long,
2025-12-02T00:14:49.505000,BTC-USDT,buy,86392.2,0.16,-0.06911376,USDT,3091077544407535616,2494878401,long,
